name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"30.183, -97.68",2021-09-01,97.1,73.1,84.5,104.9,73.1,90.1,74.8,76.2,0,0,0,,0,0,20.8,16.1,172.4,1008.3,37.1,8.6,234.9,20.2,8,,2021-09-01T07:07:43,2021-09-01T19:53:01,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-02,97.1,75.8,84.5,103.4,75.8,88.4,74.1,75.1,0,0,0,,0,0,26.8,15,158.8,1010.7,46.3,8.8,194.8,17,7,,2021-09-02T07:08:16,2021-09-02T19:51:49,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-03,96.2,73.1,82.4,101.8,73.1,85.8,72.2,74.6,0.012,100,4.17,rain,0,0,19.2,12.8,163.6,1012.5,37.9,9.8,208.7,18,8,,2021-09-03T07:08:49,2021-09-03T19:50:37,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"C2969,72254013904"
"30.183, -97.68",2021-09-04,95.1,71.9,83.5,100,71.9,86.1,70.2,68.6,0,0,0,,0,0,21,13.9,188.7,1012.5,29.2,9.5,229.7,20,8,,2021-09-04T07:09:22,2021-09-04T19:49:25,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-05,98.9,70.1,84.7,102.9,70.1,86.6,67.9,62.2,0,0,0,,0,0,36.7,20.8,217.8,1012,40.8,9.8,235.5,20.5,8,,2021-09-05T07:09:55,2021-09-05T19:48:12,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-06,97.1,74.9,80.8,105.1,74.9,82.7,69.8,70.9,0,0,0,,0,0,40.3,16.1,219.4,1013,72.9,9.7,156,13.4,7,,2021-09-06T07:10:28,2021-09-06T19:46:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-07,95.1,71,81.2,98.3,71,83.1,68.9,70,0,0,0,,0,0,12.5,10.3,73.1,1012.1,64.6,9.9,165.8,14.2,5,,2021-09-07T07:11:00,2021-09-07T19:45:45,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-08,98,64.1,79.8,95.9,64.1,79.6,61.7,61.6,0,0,0,,0,0,29.8,17.2,35.1,1012.6,37.9,9.7,232,19.9,8,,2021-09-08T07:11:33,2021-09-08T19:44:31,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-09,93.8,62,78.9,92.8,62,78.4,58.4,54.9,0,0,0,,0,0,22.1,15,25.5,1015,13.8,9.9,235.8,20.2,8,,2021-09-09T07:12:06,2021-09-09T19:43:17,0.1,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-09-10,92,62,75.6,91,62,75.5,57.1,56.1,0,0,0,,0,0,16.8,10.3,47.8,1016.5,15,9.8,214.5,18.5,8,,2021-09-10T07:12:38,2021-09-10T19:42:02,0.13,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-09-11,89.9,56,74.4,87.5,56,73.6,56,59.7,0,0,0,,0,0,20.8,9.2,82.3,1017.5,7.5,9.9,236,20.2,8,,2021-09-11T07:13:11,2021-09-11T19:40:47,0.17,Clear,Clear conditions throughout the day.,clear-day,"C2969,72254013904"
"30.183, -97.68",2021-09-12,91.1,64.1,77.5,93,64.1,78.4,65.4,69.7,0,0,0,,0,0,21.9,9.2,93.3,1017.1,57.5,9.9,184.5,15.9,8,,2021-09-12T07:13:43,2021-09-12T19:39:33,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-13,87.2,71,78.1,89,71,79,66.9,70.2,0,0,0,,0,0,29.8,20.8,94.4,1015.1,85.8,9.9,155.2,13.4,6,,2021-09-13T07:14:16,2021-09-13T19:38:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-14,84.8,69.2,76.9,87,69.2,77.6,65.8,69.4,0,0,0,,0,0,24.4,19.7,18.6,1010.7,82.5,9.9,161,13.7,7,,2021-09-14T07:14:49,2021-09-14T19:37:02,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-15,89,71,77.6,90.4,71,78.2,66.4,70.6,0,0,0,,0,0,24.6,17.2,25.8,1010.2,71.7,9.9,170.7,14.8,7,,2021-09-15T07:15:21,2021-09-15T19:35:47,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-16,91.1,65,77.9,93.3,65,78.7,65.3,69.3,0,0,0,,0,0,17,11.4,41.9,1010.7,36.7,9.9,215.5,18.7,8,,2021-09-16T07:15:54,2021-09-16T19:34:31,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-17,95.1,65,79.6,97.8,65,80.9,66.3,68.7,0,0,0,,0,0,14.1,9.2,74.1,1013.1,25,9.9,203.6,17.6,7,,2021-09-17T07:16:27,2021-09-17T19:33:16,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-18,97.1,68.1,80.7,98.8,68.1,81.9,66.5,66.4,0,0,0,,0,0,17.9,11.4,39.4,1014.6,26.7,9.9,205.5,17.9,7,,2021-09-18T07:16:59,2021-09-18T19:32:00,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-19,97.1,66.8,81.8,97.8,66.8,82.7,65.5,63,0,0,0,,0,0,12.1,8.1,215.7,1011.6,22.9,9.9,204.8,17.5,7,,2021-09-19T07:17:32,2021-09-19T19:30:45,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-20,98,73.1,84.7,100.1,73.1,86.2,67.9,62.5,0,0,0,,0,0,24.2,15,185.2,1010,24.6,9.9,223.4,19.1,8,,2021-09-20T07:18:05,2021-09-20T19:29:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-21,91.1,73.1,82.9,97.7,73.1,85.4,69.7,68,0,0,0,,0,0,32.2,18.3,2.8,1015.6,61.7,9.5,152.8,13.3,7,,2021-09-21T07:18:38,2021-09-21T19:28:14,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-22,83.9,57.8,73.8,81.3,57.8,73.3,43.1,35.3,0,0,0,,0,0,32.2,20.8,16.4,1022.5,36.7,9.9,230.8,19.8,8,,2021-09-22T07:19:12,2021-09-22T19:26:58,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C2969,72254013904"
"30.183, -97.68",2021-09-23,84.8,48.8,66,81.9,48.8,65.4,43.5,52.3,0,0,0,,0,0,15.2,6.9,85.3,1018.5,20,9.9,231.5,19.8,8,,2021-09-23T07:19:45,2021-09-23T19:25:43,0.59,Clear,Partly cloudy throughout the day.,clear-day,"C2969,72254013904"
